Critical to Quality (Virtual assistant),Prozess,Beschreibung des Prozesses (Gruppe),Gefährdung,Gefährdungssituation,Schaden,Eintretenswahrscheinlichkeit,Schweregrad,Massnahme zur Risikominderung,Verbleibende Eintretens-wahrscheinlichkeit,Verbleibender Schweregrad
Ja,SLM Titan,Platzierung der Bauteile auf der SLM Bauplattform ,Bauteile können nicht diagonal zum Gasstrom auf der Bauplattform platziert werden,Implantat bricht durch Gefügefehler (Reduzierte mechansiche Festigkeit) aufgrund Schweissspritzer von benachbarten Bauteile,Zweitoperation,3,3,Zum Gasstrom hin diagonale Platzierung der Implantate auf der Bauplattform gemäss SOP,1,3
Ja,SLM Titan,SLM Bauplattform,Verunreinigte Bauplattform ,Verunreinigungen gelangen ins Bauteil und schliesslich in den Patienten,"Infektion, ungewollte Immunreaktion",2,4,"Ordnungsgemässe Lagerung der Bauplattform gemäss SOP;Vor Gebrauch die Bauplattform mit Isopropanol reinigen gemäss SOP",1,4
Ja,SLM Titan,SLM Bauplattform,Bauplattform ist nicht aus demselben Material wie das Baumaterial ,Abriebpartikel vermischen sich mit dem Bauteil und gelangen schliesslich in den Patienten,"Infektion, Ungewollte Immunreaktion",2,4,Vor Gebrauch die Bauplattform bezüglich Material überprüfen,1,4
Ja,SLM Titan,Lippenwechsel bei der Pulverbeschichtereinheit der SLM Anlage,Die Beschichterlippe ist abgenutzt,Implantat ist nicht formschlüssig - passt nicht mehr aufgrund verschlechtertem Schichtaufbau,Schädigung der Weichteile / Sehnervs,3,4,"Geschultes Personal;Visuelle Prüfung  des Pulverausstrichs bei der zuletzt gebauten  Schicht gemäss SOP;Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination gemäss SOP",2,3
Ja,SLM Titan,Beschichtung,Der Beschichter kollidiert mit aus dem Pulverbett ragenden Bauteilstrukturen,Implantat ist nicht formschlüssig - passt nicht mehr aufgrund einer Verschiebung der Bauteilstruktur oder Ablösung von der  Supportstruktur,Schädigung der Weichteile / Sehnervs,3,4,"Bei harten Kollisionen bricht die Anlage den Baujob selber ab.Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination",2,3
Ja,SLM Titan,Beschichtung ,Fehlerhafter Schichtaufbau ,Implantat bricht durch Gefügefehler (Reduzierte mechanische Festigkeit) aufgrund  von Fehlern im Schichtaufbau verursacht durch ungleichmässig ausgestrichenes Pulver,Zweitoperation,3,3,"SLM Anlage verfügt über ein Layer Control System, das bei fehlerhaften Beschichtung den Vorgang vor dem Belichtung wiederholt.Bei mehrfach fehlerhafter Beschichtung muss der Baujob erneut aufgesetzt und ausgeführt werden.",2,3
Ja,Wärmebehandlung SLM Titan,Wärmebehandlung des SLM-Bauteils auf der Bau-Plattform,Schutzgasatmosphäre ist nicht konstant während des gesammten Glühprozesses,Versprödungsgefahr,Reduzierte mechanische Festigkeit ,3,3,"Oberflächenverzunderung wird visuell sichtbar - Sichtkontrolle; Geschultes Personal",1,3
Ja,Wärmebehandlung SLM Titan,Wärmebehandlung des SLM-Bauteils auf der Bau-Plattform,Proben werden noch heiss aus dem Ofen genommen,Versprödungsgefahr,Reduzierte mechanische Festigkeit ,2,3,"Proben dürfen erst aus dem Ofen genommen werden, wenn die Temperatur unter 200°C liegt",1,3
Ja,"Deburring SLM Titan",Geom. Integrität,Nicht entfernte Supportreste,Supportstruktur wird nicht vollständig entfernt,Gewebeverletzung ,3,3,"Visuelle Prüfung und Protokollierung, dass die Supportstruktur rückstandslos entfernt wurde ;Nachgeschalteter Gleitschleifprozess ",1,3
Ja,"Deburring SLM Titan",Geom. Integrität,Entfernung der Supportstrukturen,Implantat wird beschädigt,Implantat ist nicht formschlüssig - passt nicht mehr,4,3,"Geschultes Personal;Beschädigte Implantate werden nicht weiterverarbeitet;Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination",2,3
Ja,"Deburring SLM Titan",Verwechslungsgefahr,Implantatkennzeichnung,Implantate werden  nach dem Ablösen von der Bauplattform  falsch gekennzeichnet,Arzt erhält falsches Implantat - Operation muss verschoben werden ,3,2,Implantate werden beim Ablösen anhand eines beschrifteten Screenshots der Implantatanordnung auf der Bauplattform zugeordnet und in entsprechend gekennzeichneten Beuteln aufbewahrt - Protokollierung,2,2
Ja,Sand-Blasting SLM Titan,Geom. Integrität,Materialabtrag,Implantat wird ungleichmässig gestrahlt,Implantat ist nicht formschlüssig - passt nicht mehr,4,2,"Geschultes Personal;Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination",1,4
Ja,Sand-Blasting SLM Titan,Prozessparameter,Mehrere veränderbare Prozessparameter,Falsche Prozessparameter werden verwendet,Implantat ist nicht formschlüssig - passt nicht mehr,3,2,"Geschultes Personal;Verwendung von optimierten Parameter gemäss Anweisung",1,2
Ja,Sand-Blasting SLM Titan,Verwechslung,Implantate tragen keine Kennzeichung auf sich,Implantate werden beim Sandstrahlen verwechselt.,Arzt erhält falsches Implantat - Operation muss verschoben werden ,3,2,"Es wird jeweils nur ein Implantat gleichzeitig gestrahlt;Zwischenlagerung im gekennzeichneten Beutel und TransportbehältnisSoll-Ist Vergleich mittels 3D-Scan bei der Type Examination",1,2
Ja,Machining SLM Titan Structures,Genauigkeit,Lokalisierung der Bohrstelle,Bohrung findet an falscher Stelle statt,Implantat kann nicht wie geplant verankert werden,3,3,"Erfahrens Personal; In das Imlpantatdesign integrierte zylindrische Bohrmarkierungen die min. 3 mm aus dem Implantat herausragen werden zur Zentrierung des Bohrers und Aussrichtung (Matrixspannsystem) des Implantates benutzt.Diese werden nach der Zentrierung und Ausrichtung wegegefräst.Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination",2,3
Ja,Machining SLM Titan Structures,Genauigkeit,Verschiedene Bohrer stehen zur Auswahl,Bohrung wird mit falschem Durchmesser gebohrt,Implantat kann nicht wie geplant verankert werden,4,3,"Klare Kennzeichnung der Bohrer; Durchmesser klar ersichtlich im Designdokument;Protokollierung der Nachmessung",1,3
Ja,Machining SLM Titan Structures,Geom. Integrität,Bohrbrauen entstehen,Bohrbrauen werden nicht entfernt,Gewebeverletzung ,3,3,"Visuelle Inspektion;Protokollierung",1,3
Ja,Machining SLM Titan Structures,Geom. Integrität,Hohe Kräfte wirken auf das Implantat beim Einspannen,Implantat deformiert sich oder Oberfläche wird Verletzt,Implantat ist nicht formschlüssig - passt nicht mehr,4,2,"SOP-004-TyE_Type ExaminationVisuelle Prüfung;Soll-Ist Vergleich mittels 3D-Scan bei der Type Examination",2,2
